RADIX company_id,FILE TYPE,Blacknight Location,Blacknight Filename,File Suffix,Transfer Company Doc,Target Site Destination Folder,Target Site File Name,name,description
118,Method Statement,/var/www/html/public/uploads/companies/118,9028,.pdf,TRANSFER,,MS_CRS_VM_3_v1_ODU_Replacement (Breakdown Scenario).pdf,MS_CRS_VM_3_v1_ODU_Replacement (Breakdown Scenario).pdf,ODU Replacement
158,Method Statement,/var/www/html/public/uploads/companies/158,9238,.pdf,TRANSFER,,MS_NRE_1_v1_electrical_works.pdf,MS_NRE_1_v1_electrical_works.pdf,Electrical works MS
119,Method Statement,/var/www/html/public/uploads/companies/119,10635,.doc,TRANSFER,,Method_Statement_Capard.doc,Method_Statement_Capard.doc,
119,H&S Plan,/var/www/html/public/uploads/companies/119,10636,.pdf,TRANSFER,,Company saftey statement 2019.pdf,Company saftey statement 2019.pdf,
13,Method Statement,/var/www/html/public/uploads/companies/13,11331,.docx,TRANSFER,,Method Statement_WDGLH_Gallows Hill_290719_KS.docx,Method Statement_WDGLH_Gallows Hill_290719_KS.docx,
13,Method Statement,/var/www/html/public/uploads/companies/13,12207,.docx,TRANSFER,,Method Statement_CEBDH_Ben Dash_201119_KS.docx,Method Statement_CEBDH_Ben Dash_201119_KS.docx,
13,Method Statement,/var/www/html/public/uploads/companies/13,12781,.docx,TRANSFER,,MS_Tallagh Ex_DNTLH_110220_KS.docx,MS_Tallagh Ex_DNTLH_110220_KS.docx,
13,Method Statement,/var/www/html/public/uploads/companies/13,12821,.docx,TRANSFER,,MS_CKCHF_Churchfield Exchange_240220_KS.docx,MS_CKCHF_Churchfield Exchange_240220_KS.docx,
13,Method Statement,/var/www/html/public/uploads/companies/13,12923,.docx,TRANSFER,,MS_GYGAL_Galway HPO_020320_KS.docx,MS_GYGAL_Galway HPO_020320_KS.docx,
163,H&S Plan,/var/www/html/public/uploads/companies/163,13568,.pdf,TRANSFER,,Teo Air Solutions Insurance 2019  2020.pdf,Teo Air Solutions Insurance 2019  2020.pdf,
163,Method Statement,/var/www/html/public/uploads/companies/163,13569,.pdf,TRANSFER,,MS_TA_1_v1_AC_Maintenance.pdf,MS_TA_1_v1_AC_Maintenance.pdf,MS_TA_1_v1_AC_Maintenance
163,Method Statement,/var/www/html/public/uploads/companies/163,15440,.pdf,TRANSFER,,MS_TA_1_v2_AC_Service & Maintenance.pdf,MS_TA_1_v2_AC_Service & Maintenance.pdf,Service & Maintenance
163,Method Statement,/var/www/html/public/uploads/companies/163,15441,.pdf,TRANSFER,,MS_TA_2_v1_AC_Installation.pdf,MS_TA_2_v1_AC_Installation.pdf,Installation
67,Method Statement,/var/www/html/public/uploads/companies/67,16914,.pdf,TRANSFER,,TC-RAMS-01 Tower Climbdown Rev 01.pdf,TC-RAMS-01 Tower Climbdown Rev 01.pdf,Climbdown
67,Method Statement,/var/www/html/public/uploads/companies/67,16915,.pdf,TRANSFER,,TC-RAMS-03 Install Antenna_Steelwork Rev 01.pdf,TC-RAMS-03 Install Antenna_Steelwork Rev 01.pdf,Install Antenna Steelwork
67,Method Statement,/var/www/html/public/uploads/companies/67,16916,.pdf,TRANSFER,,TC-RAMS-02 Civil Maintenance Rev 01.pdf,TC-RAMS-02 Civil Maintenance Rev 01.pdf,Civil Maintenance
67,Method Statement,/var/www/html/public/uploads/companies/67,16917,.pdf,TRANSFER,,TC-RAMS-06 Base Construction Rev 01.pdf,TC-RAMS-06 Base Construction Rev 01.pdf,Base Construction
67,Method Statement,/var/www/html/public/uploads/companies/67,16918,.pdf,TRANSFER,,TC-RAMS-05 Ducting Rev 01.pdf,TC-RAMS-05 Ducting Rev 01.pdf,Ducting
