Site ID,Site Name,Blackknight Location,Filename,Target Site Destination Folder,Target Site File Name
TWX2007,Campile,/var/www/html/public/uploads/sites/Campile - TWX2007/Licence Maps/,Campile - TWX2007 - TCF01 - Rev 1.0.pdf,,Campile - TWX2007 - TCF01 - Rev 1.0.pdf
TLS1010,Capard,/var/www/html/public/uploads/sites/Capard 38m - TLS1010/Licence Maps/,Capard - TLS1010 - TCF01 - Rev 1.0.pdf,,Capard - TLS1010 - TCF01 - Rev 1.0.pdf
TKE1009,Cappagh,/var/www/html/public/uploads/sites/Cappagh - TKE1009/Licence Maps/,Cappagh - TKE1009 - TCF01 - Rev 1.0.pdf,,Cappagh - TKE1009 - TCF01 - Rev 1.0.pdf
TKY1011,Capparoe,/var/www/html/public/uploads/sites/Capparoe - TKY1011/Licence Maps/,Capparoe - TKY1011 - TCF01 - Rev 1.0.pdf,,Capparoe - TKY1011 - TCF01 - Rev 1.0.pdf
TGY1012,Cappataggle,/var/www/html/public/uploads/sites/Cappataggle 41m - TGY1046/Licence Maps/,Cappataggle - TGY1046 - TCF01 - Rev 1.0.pdf,,Cappataggle - TGY1046 - TCF01 - Rev 1.0.pdf
TGY1012,Cappataggle,/var/www/html/public/uploads/sites/Cappataggle 47m - TGY1012/Licence Maps/,Cappataggle - TGY1046 - TCF01 - Rev 1.0.pdf,,Cappataggle - TGY1046 - TCF01 - Rev 1.0.pdf
TCE1013,Carran,/var/www/html/public/uploads/sites/Carran - TCE1013/Licence Maps/,Carran - TCE1013 - TCF01 - Rev 1.0.pdf,,Carran - TCE1013 - TCF01 - Rev 1.0.pdf
TMN2008,Carrickmacross,/var/www/html/public/uploads/sites/Carrickmacross - TMN2008/Licence Maps/,Carrickmacross - TMN2008 - TCF01 - Rev 1.0.pdf,,Carrickmacross - TMN2008 - TCF01 - Rev 1.0.pdf
TSO2009,Cashelgarren,/var/www/html/public/uploads/sites/Cashelgarren - TSO2009/Licence Maps/,Cashelgarren - TSO2009 - TCF01 - Rev 1.0.pdf,,Cashelgarren - TSO2009 - TCF01 - Rev 1.0.pdf
TMO2010,Castlebar,/var/www/html/public/uploads/sites/Castlebar - TMO2010/Licence Maps/,Castlebar - TMO2010 - TCF01 - Rev 1.0.pdf,,Castlebar - TMO2010 - TCF01 - Rev 1.0.pdf
TCK2011,Castletownbere,/var/www/html/public/uploads/sites/Castletownbere - TCK2011/Licence Maps/,Castletownbere - TCK2011 - TCF01 - Rev 1.0.pdf,,Castletownbere - TCK2011 - TCF01 - Rev 1.0.pdf
