Site ID,Site Name,Blackknight Location,Blacknight Filename,Target Site Destination Folder,Target Site File Name
TRN5077,Cloonfad,/var/www/html/public/uploads/sites/TRN5077/Access/,TC016_TRN5077 Site Access Info Cloonfad.pdf,,TC016_TRN5077 Site Access Info Cloonfad.pdf
TLS6037,Clough,/var/www/html/public/uploads/sites/Clough - TLS6037/Access/,TC016_TLS6037 Site Access Info Clough.pdf,,TC016_TLS6037 Site Access Info Clough.pdf
TDU2013,Coolmine,/var/www/html/public/uploads/sites/Coolmine - TDU2013/Access/,TC016_TDU2013 Site Access Info Coolmine.pdf,,TC016_TDU2013 Site Access Info Coolmine.pdf
TLS6038,Coolrain,/var/www/html/public/uploads/sites/Coolrain - TLS6038/Access/,TC016_TLS6038 Site Access Info Coolrain.pdf,,TC016_TLS6038 Site Access Info Coolrain.pdf
TCN7018,Cootehill,/var/www/html/public/uploads/sites/TCN7018/Access/,TC016_TCN7018 Site Access Info Cootehill.pdf,,TC016_TCN7018 Site Access Info Cootehill.pdf
TCK1015,Coronea,/var/www/html/public/uploads/sites/Coronea - TCK1015/Access/,TC016_TCK1015 Site Access Info Coronea.pdf,,TC016_TCK1015 Site Access Info Coronea.pdf
TWX7020,Courtown,/var/www/html/public/uploads/sites/TWX7020/Access/,TC016_TWX7020 Site Access Info Courtown.pdf,,TC016_TWX7020 Site Access Info Courtown.pdf
TDL6013,Creeslough,/var/www/html/public/uploads/sites/Creeslough - TDL6013/Access/,TC016_TDL6013 Site Access Info Creeslough.pdf,,TC016_TDL6013 Site Access Info Creeslough.pdf
TMO6450,Croaghmoyle,/var/www/html/public/uploads/sites/Croaghmoyle - TMO6050/Access/,TC016_TMO6050 Site Access Info Croaghmoyle.pdf,,TC016_TMO6050 Site Access Info Croaghmoyle.pdf
TLK7021,Croom,/var/www/html/public/uploads/sites/TLK7021/Access/,TC016_TLK7021 Site Access Info Croom.pdf,,TC016_TLK7021 Site Access Info Croom.pdf
TMH5085,Crossakiel,/var/www/html/public/uploads/sites/TMH5085/Access/,TC016_TMH5085 Site Access Info Crossakiel.pdf,,TC016_TMH5085 Site Access Info Crossakiel.pdf
TLS4005,Cullahill Exchange,/var/www/html/public/uploads/sites/Cullahill Exchange - TLS4005/Access/,TC016_TLS4005 Site Access Info Cullahill Exchange.pdf,,TC016_TLS4005 Site Access Info Cullahill Exchange.pdf
TKY1016,Curraross,/var/www/html/public/uploads/sites/Curraross - TKY1016/Access/,TC016_TKY1016 Site Access Info Curraross.pdf,,TC016_TKY1016 Site Access Info Curraross.pdf
TDU3004,Dame Court,/var/www/html/public/uploads/sites/Dame Court - TDU3004/Access/,TC016_DC Site Access Info Dame Court.pdf,,TC016_DC Site Access Info Dame Court.pdf
TWH6066,Delvin,/var/www/html/public/uploads/sites/Delvin - TWH6066/Access/,TC016_TWH6066 Site Access Info Delvin.pdf,,TC016_TWH6066 Site Access Info Delvin.pdf
TKY1017,Derryquin,/var/www/html/public/uploads/sites/Derryquin - TKY1017/Access/,TC016_TKY1017 Site Access Info Derryquin.pdf,,TC016_TKY1017 Site Access Info Derryquin.pdf
TKY2014,Dingle,/var/www/html/public/uploads/sites/Dingle - TKY2014/Access/,TC016_TKY2014 Site Access Info Dingle.pdf,,TC016_TKY2014 Site Access Info Dingle.pdf
TRN6361,Donamon,/var/www/html/public/uploads/sites/Donamon - TRN6061/Access/,TC016_TRN6061 Site Access Info Donamon.pdf,,TC016_TRN6061 Site Access Info Donamon.pdf
TDL3005,Donegal Exchange,/var/www/html/public/uploads/sites/Donegal Exchange - TDL3005/Access/,TC016_DE Site Access Info Donegal Exchange.pdf,,TC016_DE Site Access Info Donegal Exchange.pdf
TLK7321,Dooradoyle,/var/www/html/public/uploads/sites/TLK7321/Access/,TC016_TLK7321 Site Access Info Dooradoyle.pdf,,TC016_TLK7321 Site Access Info Dooradoyle.pdf
TCK5094,Douglas,/var/www/html/public/uploads/sites/TCK5094/Access/,TC016_TCK5094 Site Access Info Douglas.pdf,,TC016_TCK5094 Site Access Info Douglas.pdf
TLM6040,Dowra,/var/www/html/public/uploads/sites/Dowra - TLM6040/Access/,TC016_TLM6040 Site Access Info Dowra.pdf,,TC016_TLM6040 Site Access Info Dowra.pdf
TCK7322,Drinagh,/var/www/html/public/uploads/sites/TCK7322/Access/,TC016_TCK7322 Site Access Info Drinagh.pdf,,TC016_TCK7322 Site Access Info Drinagh.pdf
TLH6446,Drogheda,/var/www/html/public/uploads/sites/Drogheda - TLH6046/Access/,TC016_TLH6046 Site Access Info Drogheda.pdf,,TC016_TLH6046 Site Access Info Drogheda.pdf
TWX1018,Drumgold,/var/www/html/public/uploads/sites/Drumgold - TWX1018/Access/,TC016_TWX1018 Site Access Info Drumgold.pdf,,TC016_TWX1018 Site Access Info Drumgold.pdf
TLM6041,Drumkeeran,/var/www/html/public/uploads/sites/Drumkeeran - TLM6041/Access/,TC016_TLM6041 Site Access Info Drumkeeran.pdf,,TC016_TLM6041 Site Access Info Drumkeeran.pdf
TMH5102,Dunboyne,/var/www/html/public/uploads/sites/TMH5102/Access/,TC016_TMH5102 Site Access Info Dunboyne.pdf,,TC016_TMH5102 Site Access Info Dunboyne.pdf
TLH2015,Dundalk Ramparts,/var/www/html/public/uploads/sites/Dundalk Ramparts - TLH2015/Access/,TC016_TLH2015 Site Access Info Dundalk Ramparts.pdf,,TC016_TLH2015 Site Access Info Dundalk Ramparts.pdf
TDL2016,Dunglow,/var/www/html/public/uploads/sites/Dunglow - TDL2016/Access/,TC016_TDL2016 Site Access Info Dunglow.pdf,,TC016_TDL2016 Site Access Info Dunglow.pdf
TGY6322,Duniry,/var/www/html/public/uploads/sites/Duniry - TGY6022/Access/,TC016_TGY6022 Site Access Info Duniry.pdf,,TC016_TGY6022 Site Access Info Duniry.pdf
TGY7323,Dunmore,/var/www/html/public/uploads/sites/TGY7323/Access/,TC016_TGY7323 Site Access Info Dunmore.pdf,,TC016_TGY7323 Site Access Info Dunmore.pdf
TKE1019,Dunmurry Hill,/var/www/html/public/uploads/sites/Dunmurry Hill - TKE1019/Access/,TC016_TKE1019 Site Access Info Dunmurry Hill.pdf,,TC016_TKE1019 Site Access Info Dunmurry Hill.pdf
TMH7023,Dunshaughlin,/var/www/html/public/uploads/sites/TMH7023/Access/,TC016_TMH7023 Site Access Info Dunshaughlin.pdf,,TC016_TMH7023 Site Access Info Dunshaughlin.pdf
TCK2017,Elfordstown,/var/www/html/public/uploads/sites/Elfordstown - TCK2017/Access/,TC016_TCK2017 Site Access Info Elfordstown.pdf,,TC016_TCK2017 Site Access Info Elfordstown.pdf
TCE3006,Ennis,/var/www/html/public/uploads/sites/Ennis - TCE3006/Access/,TC016_TCE3006 Site Access Info Ennis.pdf,,TC016_TCE3006 Site Access Info Ennis.pdf
TWX2018,Enniscorthy,/var/www/html/public/uploads/sites/Enniscorthy - TWX2018/Access/,TC016_TWX2018 Site Access Info Enniscorthy.pdf,,TC016_TWX2018 Site Access Info Enniscorthy.pdf
TCK6308,Eyeries,/var/www/html/public/uploads/sites/Eyeries - TCK6008/Access/,TC016_TCK6008 Site Access Info Eyeries.pdf,,TC016_TCK6008 Site Access Info Eyeries.pdf
TMO6452,Farnaght,/var/www/html/public/uploads/sites/Farnaght - TMO6052/Access/,TC016_TMO6052 Site Access Info Farnaght.pdf,,TC016_TMO6052 Site Access Info Farnaght.pdf
TOY6059,Ferbane,/var/www/html/public/uploads/sites/Ferbane - TOY6059/Access/,TC016_TOY6059 Site Access Info Ferbane.pdf,,TC016_TOY6059 Site Access Info Ferbane.pdf
TCK2019,Fermoy,/var/www/html/public/uploads/sites/Fermoy - TCK2019/Access/,TC016_TCK2019 Site Access Info Fermoy.pdf,,TC016_TCK2019 Site Access Info Fermoy.pdf
TTP5111,Fethard,/var/www/html/public/uploads/sites/TTP5111/Access/,TC016_TTP5111 Site Access Info Fethard.pdf,,TC016_TTP5111 Site Access Info Fethard.pdf
TDL6014,Fintown,/var/www/html/public/uploads/sites/Fintown - TDL6014/Access/,TC016_TDL6014 Site Access Info Fintown.pdf,,TC016_TDL6014 Site Access Info Fintown.pdf
TMH1020,Fourknocks,/var/www/html/public/uploads/sites/Fourknocks - TMH1020/Access/,TC016_TMH1020 Site Access Info Fourknocks.pdf,,TC016_TMH1020 Site Access Info Fourknocks.pdf
TDU5113,Foxrock,/var/www/html/public/uploads/sites/TDU5113/Access/,TC016_TDU5113 Site Access Info Foxrock.pdf,,TC016_TDU5113 Site Access Info Foxrock.pdf
TLK7026,Foynes,/var/www/html/public/uploads/sites/TLK7026/Access/,TC016_TLK7026 Site Access Info Foynes.pdf,,TC016_TLK7026 Site Access Info Foynes.pdf
TRN7325,Frenchpark,/var/www/html/public/uploads/sites/TRN7325/Access/,TC016_TRN7325 Site Access Info Frenchpark.pdf,,TC016_TRN7325 Site Access Info Frenchpark.pdf
TWD2020,Gallows Hill,/var/www/html/public/uploads/sites/Gallows Hill - TWD2020/Access/,TC016_TWD2020 Site Access Info Gallows Hill.pdf,,TC016_TWD2020 Site Access Info Gallows Hill.pdf
TGY3007,Galway,/var/www/html/public/uploads/sites/Galway - TGY3007/Access/,TC016_HP Site Access Info Galway HPO.pdf,,TC016_HP Site Access Info Galway HPO.pdf
TMO6353,Geesala,/var/www/html/public/uploads/sites/Geesala - TMO6053/Access/,TC016_TMO6053 Site Access Info Geesala.pdf,,TC016_TMO6053 Site Access Info Geesala.pdf
TKY6032,Glencar,/var/www/html/public/uploads/sites/Glencar - TKY6032/Access/,TC016_TKY6032 Site Access Info Glencar.pdf,,TC016_TKY6032 Site Access Info Glencar.pdf
TWW7027,Glenealy,/var/www/html/public/uploads/sites/TWW7027/Access/,TC016_TWW7027 Site Access Info Glenealy.pdf,,TC016_TWW7027 Site Access Info Glenealy.pdf
TTP1021,Glengoole,/var/www/html/public/uploads/sites/Glengoole 30m - TTP1045/Access/,TC016_TTP1045 Site Access Info Glengoole 30m.pdf,,TC016_TTP1045 Site Access Info Glengoole 30m.pdf
TTP1021,Glengoole,/var/www/html/public/uploads/sites/Glengoole 48m - TTP1021/Access/,TC016_TTP1021 Site Access Info Glengoole 48m.pdf,,TC016_TTP1021 Site Access Info Glengoole 48m.pdf
TLK6043,Glenroe,/var/www/html/public/uploads/sites/Glenroe - TLK6043/Access/,TC016_TLK6043 Site Access Info Glenroe.pdf,,TC016_TLK6043 Site Access Info Glenroe.pdf
